DATE,ROUTE NO,SHOP NO,ACCOUNT,SHOP CODE,SHOP NAME,ODD,PCS,PCS(31),CRATES,SERVICE TIME,LATITUDE,LONGITUDE,ADDRESS
24-May,44,12,KA,106637,SMFA AMPID SAN MATEO,3,13,9,1,,14.681242,121.114351,"General Luna, San Mateo, Rizal, Philippines"
24-May,44,14,KA,106130,SMFA BATASAN (KCLK),20,0,0,0,,14.689095,121.098179,"Batasan Hills, Quezon City, Metro Manila, Philippines"
24-May,44,18,ZAPP,ZP02168,ZAPP GEN ARELLANO,3,0,0,0,,14.694452,121.108701,"Bagong Silangan, Philippines"
21-May,44,31,ZAPP,ZP02312,Zapp Candazo St. Marikina,1,187,13,5,,14.650086,121.104772,Carinderia @ Candazo St. Cor Guyame St. Concepcion 1 Marikina
12-May,44,5,KA,100514,7-11 ST461 LAMUAN,2,142,23,5,,14.648905,121.097654,"Malanday, Marikina, 1800 Metro Manila, Philippines"
31-May,45,3,MD,402235,"MD SHOP, TRO-SPE ARANETA",5,843,843,16,,14.62132,121.055382,"Araneta Center Bus Terminal, Times Square Ave, Cubao, Quezon City, Metro Manila, Philippines"
31-May,45,5,MD,402213,"MD SHOP, MANHATTAN",31,433,433,12,,14.622892,121.053972,"7 General Malvar Ave, Cubao, Quezon City, Metro Manila, Philippines"
31-May,45,8,MD,101919,MD FARMERS PLAZA 2 DINE IN,31,709,709,21,,14.619922,121.051275,"20 Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila, Philippines"
31-May,45,9,MD,101923,MD FARMERS 3F,31,452,452,10,,14.620188,121.051205,"Farmers Footbridge, Cubao, Quezon City, Metro Manila, Philippines"
31-May,45,10,MD,106132,MD FARMERS GROUND FLOOR,31,607,568,14,,14.620188,121.051205,"Farmers Footbridge, Cubao, Quezon City, Metro Manila, Philippines"
31-May,45,12,MD,402231,"MD SHOP, ALIMALL",29,749,725,15,,14.61901,121.056651,"Times Square Ave, Cubao, Quezon City, Metro Manila, Philippines"
30-May,45,6,KA,100439,7-11 ST176 FARMERS,30,48,33,3,,14.620101,121.051284,"Farmers Plaza, 20 GEN. Araneta Ave. Araneta Center, Cubao, Quezon City, 1109 Metro Manila, Philippines"
30-May,45,7,KA,100765,7-11 GATEWAY TOWER ST1530,21,51,35,3,,14.622274,121.052431,"Araneta Center - Cubao Station, Cubao, Quezon City, Metro Manila, Philippines"
30-May,45,11,KA,112689,7-11 ST2810 ARANETA BUSPORT,21,165,86,5,,14.619853,121.057553,"Socorro, Cubao, Quezon City, Metro Manila, Philippines"
9-May,45,1,MD,100073,MD MRT FARMERS CUBAO,16,0,0,0,,14.619751,121.051014,"Fluid Tehnologies And Evnt'l Mgt, Inc., 603 C-4, Cubao, Quezon City, Metro Manila, Philippines"
31-May,46,1,KA,101672,MAV PETRON SERVICECENTER,2,15,14,2,,14.628942,121.067645,"Duyan-duyan, Project 3, Quezon City, Metro Manila, Philippines"
31-May,46,2,KA,103715,SH KAMIAS,29,18,17,1,,14.633636,121.056366,"East Kamias, Quezon City, Metro Manila, Philippines"
31-May,46,3,KA,103712,SH KALAYAAN T.V,30,17,17,2,,14.641752,121.05486,"Teachers Village West, Diliman, Quezon City, Metro Manila, Philippines"
31-May,46,7,MD,101484,MD SM NORTH JEEPNEY TERMINAL,30,837,810,18,,14.655804,121.031664,"C-5/quirino, Sm City North EDSA, SM City North Edsa Scenic Skywalk, Bago Bantay, Quezon City, 1105 Metro Manila, Philippines"
31-May,46,8,MD,402204,"MD SHOP, TRINOMA",30,1973,1909,47,,14.65362,121.032356,"1359 EDSA-North Ave Terminal, Quezon City, Metro Manila, Philippines"
31-May,46,9,MD,101920,MD TRINOMA BOOTH,30,752,727,15,,14.65362,121.032356,"1359 EDSA-North Ave Terminal, Quezon City, Metro Manila, Philippines"
31-May,46,10,MD,402210,"MD SHOP, SM NORTH EDSA LGF",30,380,355,9,,14.65683,121.03128,"Golden Acres Rd, Bago Bantay, Quezon City, Metro Manila, Philippines"
30-May,46,5,KA,100799,7-11 ST1694 SM NORTH EDSA,29,106,59,3,,14.657677,121.029622,"North Link Access Road, Bago Bantay, Quezon City, Metro Manila, Philippines"
30-May,46,6,KA,106846,7-11 ST2274 CONVERGYS NORTH EDSA,17,59,33,3,,14.656694,121.028444,"SM City North EDSA Annex 1 Tunnel, Bago Bantay, Quezon City, Metro Manila, Philippines"
31-May,47,1,MD,100079,MD LRT 3 BALINTAWAK STATION,17,795,795,15,,14.657381,121.003943,"Balintawak, 1179 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila, Philippines"
